ID,Fecha,Jugador,Campo,Handicap de juego,Coeficiente,Total golpes,Total puntos,Hoyo 1,Hoyo 8,Hoyo 10,Hoyo 7,Hoyo 3,Hoyo 15,Hoyo 6,Hoyo 14,Hoyo 17,Hoyo 13,Hoyo 18,Hoyo 5,Hoyo 12,Hoyo 4,Hoyo 2,Hoyo 9,Hoyo 16,Hoyo 11
13,2025-03-22,Jose David Uña,Hierro3,19.0,100,87,39,8,5,5,3,4,7,5,4,6,6,5,3,4,5,4,4,3,6
12,2025-03-13,Jose David Uña,Hierro3,22.0,95,97,33,7,5,6,3,5,6,7,5,5,5,5,5,5,6,4,7,5,6
6,2024-09-28,María López,Real Club de Golf,17.0,90,88,40,4,3,5,6,6,5,5,5,6,2,4,6,7,8,2,4,7,3
1,2024-09-24,Juan García,Golf Costa Brava,,95,93,28,6,5,6,4,4,8,8,7,7,4,2,4,8,5,4,4,4,3
11,2024-09-15,Ana Rodríguez,Golf Costa Brava,,100,92,18,8,5,5,4,6,5,6,6,6,6,5,4,6,5,2,4,4,5
8,2024-07-25,Carlos Martínez,Club de Golf Las Encinas,,95,79,31,4,5,7,3,5,3,3,4,6,7,5,3,7,3,3,4,4,3
10,2024-06-09,Ana Rodríguez,Real Club de Golf,,100,89,21,2,7,4,7,1,3,4,7,5,4,4,6,7,5,6,5,7,5
2,2024-06-07,Juan García,Golf Costa Brava,,90,86,24,4,6,5,4,3,8,3,7,3,4,4,5,7,6,3,6,3,5
5,2024-06-05,María López,Golf Costa Brava,,90,96,20,8,7,7,3,3,8,5,7,3,7,4,3,3,6,7,7,3,5
9,2024-04-02,Carlos Martínez,Club de Golf Las Encinas,,90,85,26,7,4,4,5,7,2,5,2,4,4,4,4,8,6,1,7,7,4
7,2024-03-27,Carlos Martínez,Real Club de Golf,,95,91,21,7,5,7,5,4,3,2,7,6,5,6,2,4,7,6,4,8,3
4,2024-03-02,María López,Golf Costa Brava,,95,78,34,5,5,3,6,6,3,3,2,4,5,4,5,5,3,3,7,3,6
3,2024-02-04,Juan García,Real Club de Golf,,90,84,27,5,5,6,5,4,2,6,4,4,3,4,3,4,7,2,7,7,6
